song,plays,shows,shows_since_debut,play_rate,first_performed,last_performed,debut_confirmed,encores,opened,closed,is_se,is_interlude
"Dear,History",96,95,155,0.61,2025-09-21,2026-09-20,no,2,56,29,no,no
Moving Lights!,85,85,155,0.55,2025-09-21,2026-09-20,no,1,28,1,no,no
SE,65,65,155,0.42,2025-09-21,2026-09-20,no,0,0,0,yes,no
プライマリ,60,60,155,0.39,2025-09-21,2026-09-20,no,0,10,38,no,no
ルミナス,149,149,155,0.96,2025-09-21,2026-09-20,no,2,0,20,no,no
朝焼けと車窓,148,148,155,0.95,2025-09-21,2026-09-20,no,2,3,10,no,no
Blooming,76,76,154,0.49,2025-09-23,2026-09-20,no,0,19,0,no,no
SE(Moving Lights!),22,22,140,0.16,2025-10-26,2026-09-05,no,0,0,0,yes,no
ラブストーリーが始まらない,76,76,126,0.60,2025-11-24,2026-09-15,no,0,10,0,no,no
SE(プライマリ),6,6,108,0.06,2026-01-04,2026-05-03,no,0,0,0,yes,no
Begin the Journey!,55,55,105,0.52,2026-01-11,2026-09-15,no,0,2,0,no,no
Interlude,45,43,105,0.41,2026-01-11,2026-09-05,no,0,0,0,no,yes
描きかけの空,40,40,89,0.45,2026-02-23,2026-09-05,yes,0,0,0,no,no
Draw a line,11,11,76,0.14,2026-03-28,2026-09-13,yes,0,0,0,no,no
スタンドバイミー,53,53,76,0.70,2026-03-28,2026-09-13,yes,1,18,29,no,no
タイムカプセル,37,37,76,0.49,2026-03-28,2026-09-15,yes,1,0,26,no,no
SE(Draw a Story),18,18,75,0.24,2026-03-29,2026-09-15,no,0,0,0,yes,no
SE(スタンドバイミー),13,13,72,0.18,2026-04-11,2026-09-12,no,0,0,0,yes,no
SE(ラブストーリーが始まらない),1,1,59,0.02,2026-05-06,2026-05-06,no,0,0,0,yes,no
銀幕,14,14,49,0.29,2026-05-30,2026-09-15,yes,0,7,0,no,no
Into the Blue,35,35,41,0.85,2026-06-22,2026-09-13,yes,0,2,1,no,no
Fly By,11,11,24,0.46,2026-07-28,2026-09-13,yes,0,0,0,no,no
Sunlight,9,9,14,0.64,2026-08-27,2026-09-15,yes,0,0,1,no,no
